,qsmax,Ks,a,ms
0,-0.09264478505511275,0.020300516502444816,-1.6711731217781587,-0.03592130346602647
1,-0.15579485772354934,0.014751243291173983,-1.8237297788315086,-0.0022257113086634472
2,-0.4603072444795452,0.02353958913567097,-1.5848879253890946,-0.07709404624045811
3,-0.41574367899258224,0.004351192414680369,-1.3142881369455726,-0.09236646295553391
4,-0.4497872857879591,0.05571548835977263,-1.9663737629366538,0.004253458336157159
5,-0.06988614892463707,0.03531829263574347,-1.9481064990113193,-0.08695591745557928
6,-0.38571582420436207,0.04321745221381847,-1.4526100762498015,-0.02126288751958061
7,-0.06169831378152513,0.06323950894898156,-1.511912840772677,-0.06302506685720843
8,-0.34265920319236787,0.05564745789093075,-1.2533252614408972,-0.06075331317740582
9,-0.37084608932064933,0.028236973719866,-1.328699653562579,-0.07721940230670782
10,-0.16414954577578306,0.03327927108600831,-1.4288734677172235,0.03426488501131522
11,-0.07050933738270904,0.05754862152705276,-1.5414597218421366,-0.0900798182946955
12,-0.059781835962392504,0.004039621291719744,-1.4148902183808365,0.039804284548389524
13,-0.4512783576170024,0.04814798045708446,-1.316897999445616,-0.006147679135113465
14,-0.02777761789312605,0.03833396379033399,-1.406724573981301,0.03135111182356337
15,-0.3622525364500525,0.07455333620290182,-1.7483286583864128,-0.025105732510379272
